area,city
한국,서울/인천 (ICN)
한국,서울/김포 (GMP)
한국,부산 (PUS)
한국,제주 (CJU)
한국,광주 (KWJ)
한국,군산 (KUV)
한국,대구 (TAE)
한국,무안 (MWX)
한국,사천 (HIN)
한국,울산 (USN)
한국,원주 (WJU)
한국,여수 (RSU)
한국,청주 (CJJ)
한국,포항/경주 (KPO)
동북아,도쿄/나리타 (NRT)
동북아,오사카/간사이 (KIX)
동북아,후쿠오카 (FUK)
동북아,기타큐슈 (KKJ)
동북아,나고야 (NGO)
동북아,다카마쓰 (TAK)
동북아,미야코지마/시모지시마 (SHI)
동북아,이시가키지마 (ISG)
동북아,삿포로 (CTS)
동북아,오키나와 (OKA)
동북아,상하이/푸둥 (PVG)
동북아,시안 (XIY)
동북아,정저우 (CGO)
동북아,홍콩 (HKG)
동북아,마카오 (MFM)
동북아,타이베이/타오위안 (TPE)
동북아,타이중 (RMQ)
동남아,방콕 (BKK)
동남아,푸껫 (HKT)
동남아,치앙마이 (CNX)
동남아,세부 (CEB)
동남아,클락 (CRK)
동남아,보홀 (TAG)
동남아,다낭 (DAD)
동남아,나트랑 (CXR)
동남아,푸꾸옥 (PQC)
동남아,비엔티안 (VTE)
동남아,코타 키나발루 (BKI)
괌,괌 (GUM)
몽골,울란바토르 (UBN)
